week,weekly_slot,cadence_type,cluster,category,article_form,title,slug,search_intent,primary_merchant_ids,primary_brands,supporting_merchant_ids,supporting_brands,all_brands,internal_link_targets,cta_style,risk_guardrail,elite_judgment,answer_summary,status
1,1,高購買意圖導購文,通勤穿搭與移動包款,casual-chic,buying-priority-guide,通勤包不是越大越好：容量、肩帶、正式感與雨天備案怎麼選,commute-bag-size-strap-formality-rain-backup,通勤包選購,TP0007070;TP0009277;TP0004592,S′AIME東京企劃;UD LAB;Heine海恩後背包,TP0003240;TP0003337;TP0005684,PPBOX 官方旗艦店 - 英國袋鼠 KANGOL;Mister手作皮件專門店;FULTON 富爾頓皇家晴雨傘,S′AIME東京企劃;UD LAB;Heine海恩後背包;PPBOX 官方旗艦店 - 英國袋鼠 KANGOL;Mister手作皮件專門店;FULTON 富爾頓皇家晴雨傘,commute-bag-capacity-weight-strap-formality-guide;rainy-workday-rain-boots-coat-umbrella-bag-materials,比較表後放三顆品牌 CTA,不宣稱耐用、防水或容量足夠所有情境。,先用每天帶的三件物品決定容量，再用肩帶與場合決定外型。,通勤包應先看每天攜帶物、肩背負擔與正式場合，再補雨天材質備案。,ready-to-brief
1,2,高購買意圖導購文,通勤穿搭與移動包款,casual-chic,seasonal-checklist,雨天上班不失控：抗風傘、雨鞋、雨衣與包款材質清單,rainy-commute-umbrella-rain-shoes-bag-materials,雨天通勤採買,TP0001609;TP0005684;TP0009277,OMBRA 雨傘 雨衣 雨鞋 旗艦店;FULTON 富爾頓皇家晴雨傘;UD LAB,TP0005647;TP0007070;TP0005110,左都雨傘官方旗艦店;S′AIME東京企劃;LFM機車精品網路旗艦店,OMBRA 雨傘 雨衣 雨鞋 旗艦店;FULTON 富爾頓皇家晴雨傘;UD LAB;左都雨傘官方旗艦店;S′AIME東京企劃;LFM機車精品網路旗艦店,rainy-workday-rain-boots-coat-umbrella-bag-materials;spring-summer-commute-sun-protection-umbrella-light-bag,段落內雙 CTA 加文末品牌清單,不保證防雨、防滑或抗風效果，規格回商品頁。,把雨具分成抵達前、進門後、收納時三段，避免只買好看的傘。,雨天通勤要同時處理防雨、收納與體面感，不能只看單一雨具。,ready-to-brief
1,3,高購買意圖導購文,AI 工作角落與創作者裝備,ai-innovation,use-case-guide,手機不是只靠保護殼：車用、桌面、充電與 MagSafe 配件整理法,phone-accessory-car-desk-charging-magsafe-system,手機配件選購,TP0009476;TP0000669;TP0009160,Momax Taiwan 摩米士台灣品牌旗艦店;手些小子3C 專營Apple蘋果周邊配件;TG3C 手機配件旗艦館,TP0007239;TP0009130;TP0002918,muni 3C手機平板週邊配件專賣店;AiHome｜專業智慧充電生活;GoRig行動攝錄影專賣,Momax Taiwan 摩米士台灣品牌旗艦店;手些小子3C 專營Apple蘋果周邊配件;TG3C 手機配件旗艦館;muni 3C手機平板週邊配件專賣店;AiHome｜專業智慧充電生活;GoRig行動攝錄影專賣,phone-accessory-commute-car-charging-desk;mobile-photography-cpl-rig-outdoor-creator-kit,商品卡分車用/桌面/外出三區,不宣稱充電速度、相容性或安全認證，需回商品頁確認。,先區分車上、辦公桌、旅行三個場景，再決定是否需要同一品牌系統。,手機配件應按使用場景分層，而不是只看保護殼外觀。,ready-to-brief
1,4,比較/選購順序文,辦公室補給與質感送禮,lifestyle-culture,comparison-guide,辦公室咖啡補給怎麼選：咖啡豆、濾掛、掛耳包與送禮盒,office-coffee-beans-drip-bag-gift-box-guide,辦公室咖啡,TP0000706;TP0006151;TP0009388,歐力咖啡 Olly Coffee｜實體店面同步販售;Xinto Coffee 世界雙金咖啡烘豆廠 鑫圖咖啡;馬克老爹專賣好咖啡 MARK-ODS Co. LTD,TP0006698;TP0009303;TP0006348,LEOBUNA 里昂布納精品咖啡;BINCOO官方旗艦店;LamiFans,歐力咖啡 Olly Coffee｜實體店面同步販售;Xinto Coffee 世界雙金咖啡烘豆廠 鑫圖咖啡;馬克老爹專賣好咖啡 MARK-ODS Co. LTD;LEOBUNA 里昂布納精品咖啡;BINCOO官方旗艦店;LamiFans,office-coffee-beans-drip-bags-workday-guide;quality-gifting-coffee-tea-massage-umbrella-custom,比較表後放辦公室與送禮兩組 CTA,不宣稱風味排名、獎項或即時價格。,先看沖泡條件與共用情境，再決定豆、濾掛或禮盒。,辦公室咖啡的選擇關鍵是沖泡門檻、保存方式與是否適合共享。,ready-to-brief
1,5,AEO/GEO 答案型文章,低壓恢復與身體支撐,wellness-movement,faq-hub,睡前環境怎麼整理：耳塞、枕頭、燈光與香氛的低壓順序,bedtime-environment-earplugs-pillow-light-scent-order,睡前環境整理,TP0003593;TP0001941;TP0007295,耳根清靜 - 耳塞/優質睡眠專賣店;BETENSH 床墊 | 官方旗艦店;燈后- LED居家/智能/照明/五金/居家生活用品,TP0002458;TP0009548;TP0009429,THANN官方直營;大檜仁心;au fait 無非｜手作香氛館,耳根清靜 - 耳塞/優質睡眠專賣店;BETENSH 床墊 | 官方旗艦店;燈后- LED居家/智能/照明/五金/居家生活用品;THANN官方直營;大檜仁心;au fait 無非｜手作香氛館,bedtime-home-ritual-earplugs-pillow-scent-light;home-stretch-corner-yoga-mat-light-scent,FAQ 前放低壓環境 CTA,不承諾改善失眠、降噪效果或心理療效。,先降低干擾，再補舒適物件；香氛只能放在清潔與通風之後。,睡前環境應先處理聲音、光線與枕寢支撐，再考慮香氛。,ready-to-brief
1,6,季節/情境文,居家儀式與收納升級,lifestyle-culture,seasonal-checklist,夏天前整理家的空氣路線：循環扇、小家電與照明怎麼配,summer-airflow-fan-small-appliance-lighting-system,夏季小家電,TP0006567;TP0005764;TP0007295,Airmate艾美特;生活創意家 Life Creative KINYO 家電;燈后- LED居家/智能/照明/五金/居家生活用品,TP0005935;TP0007694;TP0004799,心科技･生活家電館;SENGLI 質感家電 x 生活選物;Hysure海說官方旗艦店,Airmate艾美特;生活創意家 Life Creative KINYO 家電;燈后- LED居家/智能/照明/五金/居家生活用品;心科技･生活家電館;SENGLI 質感家電 x 生活選物;Hysure海說官方旗艦店,summer-airflow-fan-small-appliance-lighting;living-room-work-corner-lighting-scent-storage,以使用位置分區 CTA,不宣稱降溫、節電或健康效果。,先判斷風從哪裡進、熱停在哪裡，再決定電器與燈光。,夏季家電要和空氣動線、桌面位置與照明一起規劃。,ready-to-brief
1,7,高購買意圖導購文,輕戶外與旅行準備,outdoor-escapes,buying-priority-guide,一日輕旅行包裡放什麼：防曬、充電、耳塞、雨具與小包,day-trip-bag-sun-charging-earplug-rainwear-checklist,一日旅行準備,TP0007070;TP0009476;TP0003593,S′AIME東京企劃;Momax Taiwan 摩米士台灣品牌旗艦店;耳根清靜 - 耳塞/優質睡眠專賣店,TP0000116;TP0005684;TP0009277,UV100專業機能防曬服飾;FULTON 富爾頓皇家晴雨傘;UD LAB,S′AIME東京企劃;Momax Taiwan 摩米士台灣品牌旗艦店;耳根清靜 - 耳塞/優質睡眠專賣店;UV100專業機能防曬服飾;FULTON 富爾頓皇家晴雨傘;UD LAB,day-trip-bag-essentials-sun-charging-rainwear;travel-shoes-bag-lightweight-crossbody-rain-backup,清單中段放出門前 CTA,不宣稱商品適合所有天氣或航空/交通限制。,用拿取頻率決定包內位置，雨具與充電不要放在最深處。,一日旅行的採買順序是防曬與電力先行，再補睡眠與雨天備案。,ready-to-brief
1,8,品牌質感型雜誌文,居家儀式與收納升級,lifestyle-culture,buy-better-longer-guide,下班後的家要先安靜下來：香氛、燈光與收納的升級順序,after-work-home-scent-light-storage-upgrade-order,居家儀式,TP0002458;TP0007295;TP0005953,THANN官方直營;燈后- LED居家/智能/照明/五金/居家生活用品;完美主義 官方直營,TP0004627;TP0009429;TP0005162,灰調 生活家飾選品 香氛 精油 花器 燈飾;au fait 無非｜手作香氛館;蒔柒・療癒生活選品｜秘魯聖木香氛・居家淨化,THANN官方直營;燈后- LED居家/智能/照明/五金/居家生活用品;完美主義 官方直營;灰調 生活家飾選品 香氛 精油 花器 燈飾;au fait 無非｜手作香氛館;蒔柒・療癒生活選品｜秘魯聖木香氛・居家淨化,home-evening-scent-lighting-storage-ritual;living-room-work-corner-lighting-scent-storage,克制品牌連結，文末集中 CTA,不宣稱療癒、淨化或心理效果。,先收掉視覺噪音，再談光線與味道，家才會真正安靜。,下班後的居家升級應從收納與光線開始，香氛只負責最後一層情緒。,ready-to-brief
1,9,比較/選購順序文,AI 工作角落與創作者裝備,ai-innovation,comparison-guide,第二螢幕怎麼選：外接螢幕、筆電、支架與資料備份的工作配置,second-monitor-laptop-stand-backup-work-setup,第二螢幕工作配置,TP0005967;TP0002753;TP0007010,REAICE｜外接式螢幕、充電線材、3C周邊;華克電腦-高效筆電專賣平台、專業服務與精選方案;日本橋3C,TP0000858;TP0009476;TP0006238,聯威電腦;Momax Taiwan 摩米士台灣品牌旗艦店;EZstick 3C商品保護賣場,REAICE｜外接式螢幕、充電線材、3C周邊;華克電腦-高效筆電專賣平台、專業服務與精選方案;日本橋3C;聯威電腦;Momax Taiwan 摩米士台灣品牌旗艦店;EZstick 3C商品保護賣場,second-monitor-laptop-desk-setup-ai-workflow;ai-workflow-laptop-spec-warranty-monitor-backup,規格判斷表後放品牌 CTA,不捏造效能測試、保固或相容性。,先看工作視窗數量與攜帶需求，再談螢幕尺寸與筆電規格。,第二螢幕的價值在於工作動線，而不是單純追求大尺寸。,ready-to-brief
1,10,AEO/GEO 答案型文章,辦公室補給與質感送禮,lifestyle-culture,faq-hub,下午三點喝什麼：無糖茶、花草茶、氣泡飲與沖泡飲怎麼放辦公室,office-afternoon-drinks-tea-sparkling-pantry-guide,辦公室飲品,TP0005142;TP0008786;TP0000776,Teavoya - 嘉柏茶業;ACE TEA蒔宇茶;KKM 健康飲食 專賣-植物奶|果汁|穀物果乾,TP0009026;TP0001663;TP0008341,PV女性微甜草本飲｜Pistina Vioya;恩亞生活 enyalife;Zymoïde 天然酵素飲專賣,Teavoya - 嘉柏茶業;ACE TEA蒔宇茶;KKM 健康飲食 專賣-植物奶|果汁|穀物果乾;PV女性微甜草本飲｜Pistina Vioya;恩亞生活 enyalife;Zymoïde 天然酵素飲專賣,office-afternoon-tea-drink-pantry-guide;office-drinks-sparkling-plant-milk-tea-coffee,FAQ 後放飲品補貨 CTA,草本與酵素飲不得宣稱保健、代謝或療效。,把飲品分成日常、共享、送禮與加班四種情境。,辦公室飲品應以保存方式、糖度與共享便利性決定。,ready-to-brief
