day,brand,merchant_id,grade,score,theme,site_category,article_angle,main_products,brand_role,promo_link,store_link,tracking_status
1,campingflying 想露飛飛,TP0006752,A+,93.0,outdoor-mobile-living,outdoor-escapes,露營新手小物清單、戰術斜背包 EDC,戰術斜背包、軍風/露營小物、鈦杯、露營椅凳、收納配件,主角候選,https://s.momoshop.com.tw/s/4MGgnllr,https://www.momoshop.com.tw/TP/TP0006752/main,published
2,艾寵聯萌｜犬貓美容 寵物保健 驅蟲潔牙 除臭噴霧 毛孩護理,TP0008976,A+,89.0,home-ritual-lifestyle,lifestyle-culture,狗貓口臭/體味解決、居家寵物清潔,犬貓美容、寵物保健、驅蟲潔牙、除臭噴霧、毛孩護理,主角候選,https://s.momoshop.com.tw/s/U6ssO1bs,https://www.momoshop.com.tw/TP/TP0008976/main,skipped
3,馬克老爹專賣好咖啡 MARK-ODS Co. LTD,TP0009388,A,82.0,daily-food-drink-ritual,lifestyle-culture,咖啡豆入門、濾掛咖啡推薦,咖啡豆、濾掛咖啡、掛耳咖啡、咖啡禮盒,主推候選,https://s.momoshop.com.tw/s/8fdDrXQw,https://www.momoshop.com.tw/TP/TP0009388/main,skipped
4,Cell Secret 細胞泌密,TP0008453,A+,92.0,mobile-wardrobe-accessories,casual-chic,保養修護、敏弱肌修護,外泌體 × PDRN 雙劑型凍晶安瓶、肌因煥活系列、超導面膜,主角候選,https://s.momoshop.com.tw/s/sKHLaOjH,https://www.momoshop.com.tw/TP/TP0008453/main,skipped
5,田食原-冰烤地瓜 舒肥雞胸肉 冷凍蔬菜 自產自銷 冷凍食品,TP0005993,A,84.0,wellness-recovery-support,wellness-movement,健身餐補貨、舒肥雞胸比較,冰烤地瓜、舒肥雞胸肉、冷凍蔬菜、健康餐食,主推候選,https://s.momoshop.com.tw/s/xt5xEjrq,https://www.momoshop.com.tw/TP/TP0005993/main,skipped
6,生活創意家 Life Creative KINYO 家電,TP0005764,A,81.0,creator-work-gear,ai-innovation,小家電CP值清單、租屋族必備家電,KINYO 小家電、生活電器、廚房家電、個人照護電器,主推候選,https://s.momoshop.com.tw/s/ZpHylFwi,https://www.momoshop.com.tw/TP/TP0005764/main,skipped
7,petit沛蒂| 獸醫師指定貓狗保健寵物品牌,TP0005844,A,80.0,pet-lifestyle-future,lifestyle-culture,貓狗保健入門、關節/腸胃/皮毛保養,貓狗保健品、營養補充、日常照護用品,主推候選,https://s.momoshop.com.tw/s/99GiIWkP,https://www.momoshop.com.tw/TP/TP0005844/main,skipped
8,磚星球樂高專賣店,TP0002275,A,80.0,family-parenting-future,lifestyle-culture,樂高送禮清單、入門盒組推薦,LEGO/樂高積木、收藏款、拼砌玩具與禮物選品,主推候選,https://s.momoshop.com.tw/s/UAC5Su6o,https://www.momoshop.com.tw/TP/TP0002275/main,skipped
9,Momax Taiwan 摩米士台灣品牌旗艦店,TP0009476,A,84.0,outdoor-mobile-living,outdoor-escapes,行動電源怎麼選、旅行充電組,行動電源、充電器、線材、手機支架、旅行3C配件,主推候選,https://s.momoshop.com.tw/s/LJfvOb7h,https://www.momoshop.com.tw/TP/TP0009476/main,skipped
10,燈后- LED居家/智能/照明/五金/居家生活用品,TP0007295,A,82.0,home-ritual-lifestyle,lifestyle-culture,小宅照明改造、LED燈怎麼選,LED燈具、智能照明、居家五金、生活用品,主推候選,https://s.momoshop.com.tw/s/94QtsVvN,https://www.momoshop.com.tw/TP/TP0007295/main,skipped
