brand,merchant_id,recommendation_grade,score,commission_rate,assigned_theme,brand_role,coverage_status,main_products,content_angles,promo_link,store_link,risk_notes,notes
GIBBON男裝 官方旗艦店,TP0003817,B,71.0,4.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,短袖/長袖上衣、休閒長褲、西裝褲、保暖衣、外套,男士通勤褲、涼感褲、保暖衣、爸爸/上班族穿搭,https://s.momoshop.com.tw/s/yGvekMs0,https://www.momoshop.com.tw/TP/TP0003817/main,,第二輪已補來源
戶外趣,TP0000074,B,73.0,3.0%,outdoor-mobile-living,配角候選,pending-assignment,露營用品、登山配件、戶外休閒商品,露營新手清單、戶外休閒用品、旅行露營小物,https://s.momoshop.com.tw/s/Njmm2CjZ,https://www.momoshop.com.tw/TP/TP0000074/main,,戶外內容可操作
🇹🇼 🏃‍♂️趴趴走🏃‍♀️戶外部品店 🇹🇼,TP0009471,B,72.0,6.0%,outdoor-mobile-living,配角候選,pending-assignment,戶外部品；需確認是否偏機車、露營、旅行或運動配件,戶外小物、旅行/露營裝備清單、機車出遊部品,https://s.momoshop.com.tw/s/vRiQLpE7,https://www.momoshop.com.tw/TP/TP0009471/main,,第二輪已補來源
ENDUO恩多箱包,TP0002546,B,70.0,5.0%,outdoor-mobile-living,配角候選,pending-assignment,前開式行李箱、深倉旅行箱、拉鍊/鋁框行李箱、旅行箱周邊,前開式行李箱比較、出國旅行箱尺寸、胖胖箱選購,https://s.momoshop.com.tw/s/OagsJNH4,https://www.momoshop.com.tw/TP/TP0002546/main,,第二輪已補來源
NARMES （主營大尺碼服裝 大尺碼長褲 上衣等）,TP0003665,B,68.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,大尺碼上衣、長褲、洋裝、日常女裝,大尺碼穿搭、顯瘦版型、通勤/休閒穿搭清單,https://s.momoshop.com.tw/s/XfdBDtlU,https://www.momoshop.com.tw/TP/TP0003665/main,,第6批；多數分潤約3%，需以轉換意圖與內容差異決定是否投入
豪挺紳士西服｜HaoTing Suit,TP0005310,B,63.0,3.5%,mobile-wardrobe-accessories,配角候選,pending-assignment,西裝、襯衫、皮鞋、領帶、領結、袖扣等,面試西裝、婚禮領帶、上班族襯衫、正式場合穿搭,https://s.momoshop.com.tw/s/G7ow64Xj,https://www.momoshop.com.tw/TP/TP0005310/main,,第二輪已補來源
Home & Ceramics,TP0005971,A,51.0,3.0%,home-ritual-lifestyle,主推候選,pending-assignment,陶瓷餐具、杯盤、居家擺設,餐桌佈置、陶瓷餐具怎麼選、搬家禮物,https://s.momoshop.com.tw/s/I9OkFkrZ,https://www.momoshop.com.tw/TP/TP0005971/main,,陶瓷餐廚具視覺與禮物場景強。
奇米家 輕鬆更換 愜意風格 DIY貼皮,TP0009317,B,76.0,6.0%,home-ritual-lifestyle,配角候選,pending-assignment,木紋貼皮、PVC自黏貼皮、壁貼、桌面貼紙、刮板工具,租屋改造、舊桌面翻新、DIY貼皮施工避雷與工具清單,https://s.momoshop.com.tw/s/4ku39MvY,https://www.momoshop.com.tw/TP/TP0009317/main,,第二輪已補來源
Arvo Home | 家飾 床包 枕套 被套 枕頭 沙發墊,TP0001300,B,73.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、枕套、被套、枕頭、沙發墊與家飾布品,北歐風寢具、床包尺寸選購、沙發墊與租屋布置,https://s.momoshop.com.tw/s/ua5lQ0CY,https://www.momoshop.com.tw/TP/TP0001300/main,,同類店多，需比較差異
久賴家居｜質感寢具 棉被 天絲床包 涼被 枕頭 網紅推薦,TP0001106,B,73.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,天絲床包、棉被、涼被、枕頭、寢具組,天絲床包比較、涼被怎麼選、換季寢具清單,https://s.momoshop.com.tw/s/DfBme4p7,https://www.momoshop.com.tw/TP/TP0001106/main,,同類店可做比較文
夢露家居｜床包 被套 兩用被 枕頭 床單 床罩 涼被 保潔墊,TP0007471,B,72.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、被套、兩用被、枕頭、床單、床罩、涼被、保潔墊,寢具尺寸怎麼選、保潔墊必要嗎、床包材質比較,https://s.momoshop.com.tw/s/jx4u1k0c,https://www.momoshop.com.tw/TP/TP0007471/main,需查證主力 SKU 與商品頁,與久賴/宜室/日創可組專題
宜室家居｜床包 被套 兩用被 枕頭 床單 床罩 涼被 保潔墊,TP0002795,B,72.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、被套、兩用被、枕頭、床單、床罩、涼被、保潔墊,換季寢具清單、租屋床包選購、保潔墊比較,https://s.momoshop.com.tw/s/50BehBXe,https://www.momoshop.com.tw/TP/TP0002795/main,,注意與同類店重複
日創家居｜床包 被套 兩用被 枕頭 床單 床罩 保潔墊 涼被,TP0003841,B,72.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、被套、兩用被、枕頭、床單、床罩、保潔墊、涼被,床包尺寸對照、涼被推薦、保潔墊選購,https://s.momoshop.com.tw/s/kwu0QHC1,https://www.momoshop.com.tw/TP/TP0003841/main,,可與其他寢具店做群組比較
蝦米寢具【官方旗艦店】,TP0008768,B,71.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、被套、兩用被、枕頭、涼被、保潔墊,天絲/涼感床包比較、小宅寢具清單、換季寢具推薦,https://s.momoshop.com.tw/s/VpUqu3J4,https://www.momoshop.com.tw/TP/TP0008768/main,,原第一輪誤判為食品，已校正
CHIMGU 寢谷家居,TP0005856,B,71.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,床包、被套、棉被、枕頭、居家布品,寢具材質比較、睡眠環境升級、換季床包推薦,https://s.momoshop.com.tw/s/2XzYevv4,https://www.momoshop.com.tw/TP/TP0005856/main,,可納入寢具群組專題
Go 2 運動生活館旗艦店,TP0008962,B,70.0,3.0%,wellness-recovery-support,配角候選,pending-assignment,運動配件、健身用品、生活運動選物,居家健身小物、運動新手配件、辦公室伸展用品,https://s.momoshop.com.tw/s/zAAZtWYW,https://www.momoshop.com.tw/TP/TP0008962/main,,需補主力SKU
雅各Jacob寢具的生活創意浪漫家-天絲、純棉、涼被、寢具,TP0005202,B,70.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,天絲床包、純棉寢具、涼被、枕套、床包被套組,天絲/純棉比較、換季寢具、新婚/租屋床包清單,https://s.momoshop.com.tw/s/z64goJW9,https://www.momoshop.com.tw/TP/TP0005202/main,,第6批；多數分潤約3%，需以轉換意圖與內容差異決定是否投入
安啦居家,TP0003706,B,69.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,調味罐、便攜餐具、廚餘桶、廚房收納用品,租屋族、小家庭、廚房收納改善者,https://s.momoshop.com.tw/s/WdhiCrGU,https://www.momoshop.com.tw/TP/TP0003706/main,,https://www.momoshop.com.tw/TP/TP0003706/main ; https://m.momoshop.com.tw/category.momo?cn=&entpCode=TP0003706
ADAN CREST 艾登巔峰 官方旗艦店 | 海外直送,TP0008981,B,69.0,3.0%,wellness-recovery-support,配角候選,pending-assignment,記憶枕、乳膠枕、人體工學枕、居家寢具,睡眠品質重視者、肩頸不適族、送禮族,https://s.momoshop.com.tw/s/jpF4gRvm,https://www.momoshop.com.tw/TP/TP0008981/main,,https://biggo.com.tw/s/%E9%87%8B%E5%A3%93%E6%9E%95/?p=34 ; momo商店
匠藝家居【官方旗艦店】,TP0003354,B,68.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,家具、家飾、收納、居家生活選物,小宅收納、租屋家具、質感居家升級,https://s.momoshop.com.tw/s/5JEXtodA,https://www.momoshop.com.tw/TP/TP0003354/main,,若品項分散則降低優先
Urban Nest 悠巢 - 生活家居用品專賣店,TP0008643,B,67.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,居家生活用品、收納、佈置小物、日用百貨,小宅收納、租屋佈置、居家好物清單,https://s.momoshop.com.tw/s/4oqadU70,https://www.momoshop.com.tw/TP/TP0008643/main,,若品項分散要降低投入
上手家居(Comfort At Products),TP0000026,B,67.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,家居用品、舒適生活配件、收納或布品,提升居家舒適度、小宅生活用品、收納便利工具,https://s.momoshop.com.tw/s/KCDYVHhE,https://www.momoshop.com.tw/TP/TP0000026/main,,可納入家居選品群組
富居閣精選 | 客製化地毯、地墊、窗簾 | 居家百貨,TP0002173,B,67.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,客製化地毯、地墊、窗簾、居家百貨,租屋族、新居布置、小宅軟裝需求者,https://s.momoshop.com.tw/s/ZXi3USMR,https://www.momoshop.com.tw/TP/TP0002173/main,,momo 商店頁 + 店名線索
尊爵家Monarch 居家生活館,TP0002808,B,66.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,家居用品、生活百貨、家飾或寢具,質感居家、租屋升級、新居佈置清單,https://s.momoshop.com.tw/s/9wZF3SRN,https://www.momoshop.com.tw/TP/TP0002808/main,,避免泛家居內容
睿睿購文具舖,TP0001495,B,65.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,文具、辦公用品、學生用品、手帳用品,開學文具清單、辦公桌收納、手帳新手入門,https://s.momoshop.com.tw/s/kSuOB5AF,https://www.momoshop.com.tw/TP/TP0001495/main,,原第一輪類別已校正
御座椅業,TP0005263,B,65.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,辦公椅、餐椅、休閒椅或椅類家具,居家辦公族、學生、餐廳/店面採購,https://s.momoshop.com.tw/s/pKUujlHc,https://www.momoshop.com.tw/TP/TP0005263/main,,momo 商店頁 + 店名線索
城市漫遊-旅行用品專賣,TP0000151,B,63.0,3.1%,outdoor-mobile-living,配角候選,pending-assignment,旅行收納、行李箱周邊、旅遊小物推定,出國行李收納、旅行必備小物、登機箱周邊,https://s.momoshop.com.tw/s/duBrTku1,https://www.momoshop.com.tw/TP/TP0000151/main,,需二次補商品線
FienHome,TP0000065,B,46.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,居家用品、收納、家具或生活小物,小宅收納、居家佈置、生活便利用品,https://s.momoshop.com.tw/s/vvfddXLA,https://www.momoshop.com.tw/TP/TP0000065/main,,家居類可做SEO清單，但需避開低差異百貨。
本草養生From Nature,TP0002822,A,76.0,3.0%,daily-food-drink-ritual,主推候選,pending-assignment,草本養生食品、沖泡飲、日常保健食品,養生飲怎麼選、上班族日常補給、長輩送禮清單,https://s.momoshop.com.tw/s/c5vCEHr4,https://www.momoshop.com.tw/TP/TP0002822/main,避免醫療/療效/保健功效承諾,需審慎處理健康宣稱
廚藝日本鍋具館,TP0001754,A,76.0,3.0%,daily-food-drink-ritual,主推候選,pending-assignment,日本鍋具、炒鍋、湯鍋、廚房烹飪用品,日本鍋具怎麼選、不沾鍋/湯鍋比較、家庭料理工具清單,https://s.momoshop.com.tw/s/8zFXfd8k,https://www.momoshop.com.tw/TP/TP0001754/main,,需確認是否真為日本品牌/日本風選品
BWYA 薏仁錠創始品牌,TP0003281,A,58.0,3.0%,daily-food-drink-ritual,主推候選,pending-assignment,薏仁錠、亮白/代謝/美容保健食品,薏仁錠怎麼吃、成分比較、美容保健迷思、外食族保養,https://s.momoshop.com.tw/s/v6tYs77T,https://www.momoshop.com.tw/TP/TP0003281/main,避免醫療/療效/保健功效承諾,品類痛點明確、可寫性高、復購性較佳。
D醣一刻,TP0006455,A,56.0,3.0%,wellness-recovery-support,主推候選,pending-assignment,低醣點心、控糖食品、健康零食,低醣點心比較、控糖零食、健身飲食、下午茶替代,https://s.momoshop.com.tw/s/Cv5Tr7rp,https://www.momoshop.com.tw/TP/TP0006455/main,避免醫療/療效/保健功效承諾,健康食品切角強，容易做SEO與短影音，但需確認營養標示。
